time1,time2,lat1,lon1,alt1,lat2,lon2,alt2,Nationality
5716,6962,-10.77310899,-53.08981997,0,12.83990623,-85.03478316,-122,Brazil
5659,6411,-10.77310899,-53.08981997,0,12.83990623,-85.03478316,61,Brazil
5221,6741,-10.77310899,-53.08981997,305,12.83990623,-85.03478316,4709,Brazil
5633,6279,-10.77310899,-53.08981997,610,8.507187203,-80.1026627,533,Brazil
5672,6652,-10.77310899,-53.08981997,305,7.122448743,-66.16956378,320,Brazil
5620,6013,3.90115501,-73.07336878,0,3.90115501,-73.07336878,2537,Colombia
5296,6657,3.90115501,-73.07336878,4267,3.90115501,-73.07336878,1562,Colombia
5928,6324,3.90115501,-73.07336878,305,3.90115501,-73.07336878,-46,Colombia
5750,6254,3.90115501,-73.07336878,0,3.90115501,-73.07336878,61,Colombia
5438,6520,3.90115501,-73.07336878,3658,3.90115501,-73.07336878,9754,Colombia
5363,6386,3.90115501,-73.07336878,1829,3.90115501,-73.07336878,419,Colombia
5960,6413,3.90115501,-73.07336878,2134,3.90115501,-73.07336878,2332,Colombia
5466,6040,3.90115501,-73.07336878,914,14.81922171,-86.6191446,175,Colombia
5472,6030,3.90115501,-73.07336878,2438,14.81922171,-86.6191446,335,Colombia
5793,6533,3.90115501,-73.07336878,305,14.81922171,-86.6191446,495,Colombia
5922,6717,3.90115501,-73.07336878,0,14.81922171,-86.6191446,236,Colombia
5358,6877,3.90115501,-73.07336878,2438,14.81922171,-86.6191446,594,Colombia
5110,6276,3.90115501,-73.07336878,3048,14.81922171,-86.6191446,335,Colombia
5055,6251,3.90115501,-73.07336878,2134,14.81922171,-86.6191446,526,Colombia
5857,6634,3.90115501,-73.07336878,10363,23.95046463,-102.5328864,8,Colombia
5417,6916,3.90115501,-73.07336878,0,12.83990623,-85.03478316,10668,Colombia
5442,6691,3.90115501,-73.07336878,2438,12.83990623,-85.03478316,6706,Colombia
5331,6731,3.90115501,-73.07336878,1524,12.83990623,-85.03478316,1524,Colombia
5943,6214,3.90115501,-73.07336878,-305,12.83990623,-85.03478316,-46,Colombia
5398,6578,3.90115501,-73.07336878,0,12.83990623,-85.03478316,61,Colombia
5263,7000,3.90115501,-73.07336878,0,12.83990623,-85.03478316,434,Colombia
5647,6273,21.62117045,-79.03635208,305,-10.77310899,-53.08981997,1638,Cuba
5469,6564,21.62117045,-79.03635208,6401,-10.77310899,-53.08981997,69,Cuba
5447,6967,21.62117045,-79.03635208,0,-10.77310899,-53.08981997,2019,Cuba
5654,6966,21.62117045,-79.03635208,1219,-37.85248887,-71.37397938,91,Cuba
5533,6948,21.62117045,-79.03635208,0,-37.85248887,-71.37397938,968,Cuba
5514,6038,21.62117045,-79.03635208,305,-37.85248887,-71.37397938,152,Cuba
